backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
3,,,A book about dimension mapping and meetings with clockwork elves in San Francisco,,publishing,Clockwork Elves and DMT mapping,,"
					Backers: 3,
					Funding: kr289 of kr16,700 (,1% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
31,games|tabletop games,$,"Who are the Legends? is a fast-paced, competitive, educational card game not just for kids but for all ages.",4000,games,Who are the legends,1385,"
					Backers: 31,
					Funding: $1,385 of $4,000 (,34% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
5,design|product design,$,Just insert your favorite scent & enjoy a great atmosphere while you're sipping your favorite drink,3400,design,Magnetic Scented Wooden Coasters Set,284,"
					Backers: 5,
					Funding: $284 of $3,400 (,8% funded,),
					Campaign Dates: July 8th -> August 7th (2020),
					Closed: Friday August 7th, 2020,
				",Cancelled
0,games|tabletop games,$,A Quick Dueling Fantasy Card Game,8000,games,The King's Tournament Card Game,0,"
					Backers: 0,
					Funding: $0 of $8,000 (,0% funded,),
					Campaign Dates: June 18th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
23,comics|comic books,$,The Chroniclers' Saga is a comic book series set in the world of Aoden.,5000,comics,The Chroniclers' Saga,862,"
					Backers: 23,
					Funding: $862 of $5,000 (,17% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
10,comics|graphic novels,$,Double-Crossed is about a Nebraska family in the 1880's seeking revenge and justice.,15000,comics,A Brother's Country #1: A Graphic Novel by David Parsons,571,"
					Backers: 10,
					Funding: $571 of $15,000 (,3% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
1,design|product design,$,"LED/SOLAR POWERED, FULLY INTERCHANGEABLE (Multi Licenses Pending), ALWAYS Waves, NEVER Sags, and REALLY LIGHTS up the NIGHT!",10000,design,The FLAG of the 21st Century- The NITE FLITE FLAG LITE,1,"
					Backers: 1,
					Funding: $1 of $10,000 (,0% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
4,design|product design,€,A special hand tool as a kind of key ring made of Brass. The Hands-Free™ is ideal for use in all areas of daily life! Everyday Carry,6985,design,"Hands-Free™ Hygiene Hand EDC Door Opener, Closer & much more",62,"
					Backers: 4,
					Funding: €62 of €6,985 (,0% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
18,technology|gadgets,$,"A Beautiful Automatic, Touch Free, Adjustable Liquid Soap Dispenser Made For A Contactless World.",30000,technology,The Handsfree Soap Dispenser by Vodace,3740,"
					Backers: 18,
					Funding: $3,740 of $30,000 (,12% funded,),
					Campaign Dates: July 14th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
7,design|product design,$,"""Laze"" It's the lazy bowl you need.",500,design,Laze: The bowl that was made for the lazy person in us.,92,"
					Backers: 7,
					Funding: $92 of $500 (,18% funded,),
					Campaign Dates: July 7th -> August 6th (2020),
					Closed: Thursday August 6th, 2020,
				",Cancelled
1,publishing|radio & podcasts,,Casi Humanos. Un podcast que pretende dar herramientas para mejorar la inteligencia emocional e inteligencia espiritual de las personas,,publishing,Casi Humanos,,"
					Backers: 1,
					Funding: MX$19 of MX$11,200 (,0% funded,),
					Campaign Dates: June 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
4,fashion|accessories,$,Select your State from the 2020 “100% Essential Worker” Pin Collection,5000,fashion,The State 2020 “100% Essential Worker” Pin Collection,85,"
					Backers: 4,
					Funding: $85 of $5,000 (,1% funded,),
					Campaign Dates: July 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
13,,$,"We challenge the LCK franchise.
Our team is run by fans with membership.
They decide to recruit players, entry, and even draft phase.",10000000,games,Become a League of Legends team manager in the LCK League!,22498,"
					Backers: 13,
					Funding: $22,498 of $10,000,000 (,0% funded,),
					Campaign Dates: June 26th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
0,,£,Effie is a new domestic appliance that irons your clothes for you. Just hang your clothes up straight from the washing machine...,100000,technology,Effie: Never Iron Again,0,"
					Backers: 0,
					Funding: £0 of £100,000 (,0% funded,),
					Campaign Dates: July 1st -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
101,,$,"A second wave of exciting characters is in the works for our successful Comic Adventure Heroes line of 4"" action figures!",60000,art,Comic Adventure Heroes Wave 2!,14285,"
					Backers: 101,
					Funding: $14,285 of $60,000 (,23% funded,),
					Campaign Dates: July 6th -> August 5th (2020),
					Closed: Wednesday August 5th, 2020,
				",Cancelled
10,technology|apps,$,"A mobile application that helps patients, families and caretakers better manage their prescribed healthcare regimen and much more.",3141456,technology,Project Ouium,1950,"
					Backers: 10,
					Funding: $1,950 of $3,141,456 (,0% funded,),
					Campaign Dates: July 10th -> August 9th (2020),
					Closed: Sunday August 9th, 2020,
				",Cancelled
3,,$,Fine Silver Rounds of Various Sizes,12000,crafts,Precious Metals Mint Start-Up,123,"
					Backers: 3,
					Funding: $123 of $12,000 (,1% funded,),
					Campaign Dates: July 9th -> August 8th (2020),
					Closed: Saturday August 8th, 2020,
				",Cancelled
